name,balance,bankrollType,behaviorStyle,mood,blacklisted,pokerParticipation,pokerAggression,pokerSkill
Player-0305,158,LOW_ROLLER,LOW_STAKES,0.13,true,0.27,0.12,0.38
Player-0306,274,LOW_ROLLER,LOW_STAKES,-0.06,false,0.24,0.11,0.43
Player-0307,216,LOW_ROLLER,LOW_STAKES,0.11,false,0.2,0.18,0.41
Player-0308,451,EVEN_STEVEN,GRINDER,0.01,false,0.57,0.48,0.77
Player-0309,452,EVEN_STEVEN,OBNOXIOUS,0.22,false,0.24,0.4,0.31
Player-0310,1054,EVEN_STEVEN,OBNOXIOUS,0.11,false,0.15,0.48,0.27
Player-0311,1772,EVEN_STEVEN,GRINDER,0.38,false,0.58,0.45,0.75
Player-0312,1055,EVEN_STEVEN,OBNOXIOUS,-0.11,false,0.21,0.44,0.34
Player-0313,151,LOW_ROLLER,LOW_STAKES,0.31,false,0.25,0.15,0.44
Player-0314,1013,EVEN_STEVEN,OBNOXIOUS,-0.17,false,0.24,0.47,0.34
Player-0315,373,LOW_ROLLER,OBNOXIOUS,0.31,false,0.2,0.49,0.27
Player-0316,155,LOW_ROLLER,OBNOXIOUS,0.38,false,0.19,0.48,0.31
Player-0317,547,LOW_ROLLER,LOW_STAKES,-0.18,false,0.24,0.12,0.41
Player-0318,1010,EVEN_STEVEN,OBNOXIOUS,-0.09,false,0.21,0.47,0.32
Player-0319,399,LOW_ROLLER,LOW_STAKES,-0.2,false,0.21,0.19,0.37
Player-0320,509,LOW_ROLLER,OBNOXIOUS,0.47,false,0.22,0.44,0.28
Player-0321,409,LOW_ROLLER,LOW_STAKES,0.45,false,0.26,0.11,0.36
Player-0322,431,LOW_ROLLER,OBNOXIOUS,0.29,true,0.24,0.46,0.26
Player-0323,1601,EVEN_STEVEN,GRINDER,0.18,false,0.56,0.48,0.75
Player-0324,7968,HIGH_ROLLER,WHALE,0.18,false,0.81,0.99,0.5
Player-0325,161,LOW_ROLLER,LOW_STAKES,0.39,false,0.24,0.2,0.37
Player-0326,432,LOW_ROLLER,OBNOXIOUS,-0.11,false,0.16,0.46,0.3
Player-0327,1330,EVEN_STEVEN,OBNOXIOUS,0.01,false,0.17,0.46,0.29
Player-0328,519,EVEN_STEVEN,GRINDER,0.24,false,0.52,0.51,0.77
Player-0329,199,LOW_ROLLER,LOW_STAKES,0.05,false,0.27,0.17,0.37
Player-0330,430,LOW_ROLLER,OBNOXIOUS,-0.24,false,0.17,0.49,0.32
Player-0331,450,EVEN_STEVEN,LOW_STAKES,-0.14,false,0.25,0.16,0.38
Player-0332,1066,EVEN_STEVEN,OBNOXIOUS,-0.14,false,0.19,0.44,0.26
Player-0333,457,EVEN_STEVEN,GRINDER,-0.24,false,0.59,0.48,0.72
Player-0334,205,LOW_ROLLER,LOW_STAKES,-0.05,false,0.27,0.19,0.44
Player-0335,1611,EVEN_STEVEN,OBNOXIOUS,0.04,false,0.17,0.49,0.32
Player-0336,451,EVEN_STEVEN,OBNOXIOUS,-0.04,false,0.19,0.48,0.32
Player-0337,3000,HIGH_ROLLER,GRINDER,0.21,false,0.54,0.54,0.75
Player-0338,192,LOW_ROLLER,LOW_STAKES,-0.04,false,0.28,0.17,0.45
Player-0339,687,EVEN_STEVEN,OBNOXIOUS,0.21,false,0.24,0.45,0.27
Player-0340,480,LOW_ROLLER,LOW_STAKES,0.05,false,0.28,0.1,0.44
Player-0341,160,LOW_ROLLER,LOW_STAKES,0.07,false,0.27,0.15,0.42
Player-0342,284,LOW_ROLLER,LOW_STAKES,-0.19,false,0.26,0.15,0.37
Player-0343,449,LOW_ROLLER,LOW_STAKES,-0.19,false,0.29,0.11,0.41
Player-0344,968,EVEN_STEVEN,LOW_STAKES,-0.22,false,0.22,0.13,0.42
Player-0345,150,LOW_ROLLER,LOW_STAKES,0.06,false,0.26,0.13,0.43
Player-0346,19804,HIGH_ROLLER,OBNOXIOUS,0.03,false,0.24,0.42,0.34
Player-0347,521,EVEN_STEVEN,GRINDER,0.15,false,0.52,0.49,0.74
Player-0348,995,EVEN_STEVEN,OBNOXIOUS,0.33,false,0.18,0.44,0.3
Player-0349,260,LOW_ROLLER,OBNOXIOUS,0.02,false,0.17,0.46,0.31
Player-0350,634,EVEN_STEVEN,GRINDER,0.01,false,0.52,0.54,0.77
Player-0351,21988,HIGH_ROLLER,WHALE,-0.02,false,0.84,0.94,0.46
Player-0352,18072,HIGH_ROLLER,GRINDER,0.03,false,0.55,0.49,0.77
Player-0353,186,LOW_ROLLER,OBNOXIOUS,0.29,false,0.18,0.45,0.27
Player-0354,860,EVEN_STEVEN,GRINDER,-0.0,false,0.52,0.51,0.75
Player-0355,1224,EVEN_STEVEN,LOW_STAKES,0.18,false,0.24,0.19,0.43
Player-0356,1443,EVEN_STEVEN,OBNOXIOUS,-0.06,false,0.25,0.46,0.31
Player-0357,1236,EVEN_STEVEN,OBNOXIOUS,0.1,false,0.19,0.44,0.3
Player-0358,450,EVEN_STEVEN,GRINDER,0.39,false,0.59,0.54,0.75
Player-0359,1498,EVEN_STEVEN,GRINDER,0.33,false,0.54,0.47,0.73
Player-0360,10135,HIGH_ROLLER,WHALE,-0.18,false,0.89,1.0,0.45
Player-0361,519,EVEN_STEVEN,GRINDER,0.12,false,0.59,0.47,0.74
Player-0362,346,LOW_ROLLER,LOW_STAKES,0.12,false,0.26,0.15,0.44
Player-0363,1487,EVEN_STEVEN,LOW_STAKES,0.29,false,0.21,0.16,0.44
Player-0364,1661,EVEN_STEVEN,GRINDER,0.4,false,0.5,0.45,0.72
Player-0365,395,LOW_ROLLER,LOW_STAKES,0.41,false,0.21,0.13,0.37
Player-0366,1602,EVEN_STEVEN,LOW_STAKES,0.16,false,0.27,0.18,0.43
Player-0367,230,LOW_ROLLER,LOW_STAKES,-0.13,false,0.28,0.14,0.37
Player-0368,150,LOW_ROLLER,LOW_STAKES,0.18,false,0.28,0.14,0.41
Player-0369,155,LOW_ROLLER,LOW_STAKES,0.19,false,0.29,0.14,0.39
Player-0370,169,LOW_ROLLER,LOW_STAKES,0.37,false,0.28,0.11,0.4
Player-0371,481,EVEN_STEVEN,LOW_STAKES,-0.22,false,0.26,0.16,0.35
Player-0372,557,EVEN_STEVEN,GRINDER,0.49,false,0.57,0.5,0.79
Player-0373,224,LOW_ROLLER,OBNOXIOUS,-0.12,false,0.2,0.45,0.34
Player-0374,486,EVEN_STEVEN,GRINDER,0.37,false,0.53,0.48,0.76
Player-0375,463,EVEN_STEVEN,GRINDER,0.4,false,0.59,0.54,0.75
Player-0376,175,LOW_ROLLER,LOW_STAKES,0.43,false,0.28,0.13,0.37
Player-0377,194,LOW_ROLLER,OBNOXIOUS,0.06,false,0.16,0.43,0.3
Player-0378,169,LOW_ROLLER,OBNOXIOUS,-0.17,false,0.21,0.42,0.27
Player-0379,776,EVEN_STEVEN,GRINDER,0.36,false,0.59,0.48,0.74
Player-0380,521,EVEN_STEVEN,OBNOXIOUS,0.34,false,0.21,0.49,0.27
Player-0381,18415,HIGH_ROLLER,GRINDER,-0.25,false,0.59,0.51,0.8
Player-0382,173,LOW_ROLLER,LOW_STAKES,-0.13,false,0.29,0.15,0.39
Player-0383,335,LOW_ROLLER,OBNOXIOUS,0.05,false,0.18,0.43,0.27
Player-0384,1656,EVEN_STEVEN,LOW_STAKES,-0.21,false,0.29,0.2,0.39
Player-0385,167,LOW_ROLLER,LOW_STAKES,0.43,false,0.27,0.1,0.44
Player-0386,450,EVEN_STEVEN,GRINDER,0.3,false,0.58,0.51,0.76
Player-0387,1517,EVEN_STEVEN,GRINDER,-0.15,false,0.57,0.48,0.74
Player-0388,465,EVEN_STEVEN,GRINDER,0.45,true,0.52,0.45,0.75
Player-0389,481,EVEN_STEVEN,GRINDER,0.13,false,0.56,0.49,0.73
Player-0390,499,EVEN_STEVEN,LOW_STAKES,-0.22,false,0.22,0.17,0.45
Player-0391,331,LOW_ROLLER,LOW_STAKES,0.44,false,0.27,0.1,0.39
Player-0392,495,EVEN_STEVEN,OBNOXIOUS,0.18,false,0.24,0.46,0.27
Player-0393,314,LOW_ROLLER,LOW_STAKES,0.07,false,0.21,0.12,0.36
Player-0394,1046,EVEN_STEVEN,LOW_STAKES,0.22,false,0.25,0.14,0.36
Player-0395,459,EVEN_STEVEN,GRINDER,0.31,false,0.51,0.53,0.72
Player-0396,454,EVEN_STEVEN,OBNOXIOUS,-0.04,false,0.23,0.43,0.27
Player-0397,530,LOW_ROLLER,LOW_STAKES,0.12,false,0.21,0.16,0.42
Player-0398,157,LOW_ROLLER,OBNOXIOUS,0.12,false,0.21,0.44,0.26
Player-0399,4555,HIGH_ROLLER,GRINDER,0.02,false,0.54,0.48,0.75
Player-0400,19943,HIGH_ROLLER,WHALE,0.45,false,0.81,0.93,0.52
Player-0401,14869,HIGH_ROLLER,GRINDER,0.11,false,0.56,0.5,0.71
Player-0402,153,LOW_ROLLER,LOW_STAKES,0.27,false,0.25,0.16,0.37
Player-0403,284,LOW_ROLLER,OBNOXIOUS,-0.11,false,0.17,0.41,0.35
Player-0404,1242,EVEN_STEVEN,LOW_STAKES,-0.2,false,0.3,0.15,0.42
Player-0405,12447,HIGH_ROLLER,WHALE,0.43,false,0.82,0.9,0.48
Player-0406,164,LOW_ROLLER,LOW_STAKES,0.09,false,0.29,0.16,0.45
Player-0407,471,EVEN_STEVEN,GRINDER,-0.03,false,0.59,0.53,0.79
Player-0408,706,EVEN_STEVEN,GRINDER,-0.14,true,0.58,0.51,0.73
Player-0409,150,LOW_ROLLER,LOW_STAKES,-0.07,false,0.21,0.15,0.4
Player-0410,474,EVEN_STEVEN,LOW_STAKES,-0.06,false,0.22,0.18,0.4
Player-0411,222,LOW_ROLLER,OBNOXIOUS,-0.17,false,0.22,0.47,0.32
Player-0412,199,LOW_ROLLER,OBNOXIOUS,0.27,false,0.21,0.44,0.33
Player-0413,452,LOW_ROLLER,OBNOXIOUS,0.11,false,0.22,0.4,0.27
Player-0414,510,EVEN_STEVEN,GRINDER,0.33,false,0.51,0.49,0.72
Player-0415,193,LOW_ROLLER,LOW_STAKES,0.33,false,0.26,0.12,0.38
Player-0416,277,LOW_ROLLER,LOW_STAKES,0.33,false,0.22,0.13,0.4
Player-0417,1090,EVEN_STEVEN,GRINDER,0.47,false,0.56,0.5,0.79
Player-0418,842,EVEN_STEVEN,GRINDER,0.14,false,0.54,0.54,0.74
Player-0419,408,LOW_ROLLER,LOW_STAKES,-0.1,false,0.21,0.11,0.41
Player-0420,152,LOW_ROLLER,LOW_STAKES,-0.24,false,0.29,0.11,0.39
Player-0421,304,LOW_ROLLER,LOW_STAKES,0.17,false,0.26,0.16,0.42
Player-0422,364,LOW_ROLLER,OBNOXIOUS,0.21,false,0.18,0.43,0.31
Player-0423,239,LOW_ROLLER,LOW_STAKES,0.19,false,0.2,0.13,0.35
Player-0424,180,LOW_ROLLER,LOW_STAKES,-0.14,false,0.25,0.17,0.39
Player-0425,893,EVEN_STEVEN,OBNOXIOUS,-0.03,false,0.16,0.43,0.3
Player-0426,1568,EVEN_STEVEN,LOW_STAKES,-0.04,false,0.28,0.19,0.44
Player-0427,179,LOW_ROLLER,OBNOXIOUS,0.13,false,0.19,0.42,0.29
Player-0428,1033,EVEN_STEVEN,GRINDER,0.48,false,0.54,0.47,0.72
Player-0429,1530,EVEN_STEVEN,OBNOXIOUS,0.17,false,0.15,0.42,0.35
Player-0430,542,LOW_ROLLER,LOW_STAKES,-0.22,false,0.27,0.16,0.41
Player-0431,467,EVEN_STEVEN,GRINDER,0.05,false,0.56,0.51,0.72
Player-0432,453,EVEN_STEVEN,GRINDER,-0.1,false,0.52,0.46,0.78
Player-0433,367,LOW_ROLLER,OBNOXIOUS,0.4,false,0.23,0.45,0.33
Player-0434,152,LOW_ROLLER,LOW_STAKES,0.44,false,0.26,0.16,0.36
Player-0435,1188,EVEN_STEVEN,GRINDER,-0.24,false,0.54,0.51,0.72
Player-0436,486,LOW_ROLLER,LOW_STAKES,0.07,false,0.21,0.17,0.43
Player-0437,196,LOW_ROLLER,OBNOXIOUS,-0.13,false,0.2,0.45,0.31
Player-0438,947,EVEN_STEVEN,GRINDER,0.32,false,0.53,0.47,0.78
Player-0439,18721,HIGH_ROLLER,OBNOXIOUS,0.47,false,0.2,0.47,0.26
Player-0440,152,LOW_ROLLER,LOW_STAKES,0.46,false,0.29,0.12,0.42
Player-0441,459,EVEN_STEVEN,GRINDER,0.29,false,0.57,0.5,0.78
Player-0442,788,EVEN_STEVEN,OBNOXIOUS,0.39,false,0.25,0.46,0.34
Player-0443,421,LOW_ROLLER,LOW_STAKES,0.07,false,0.29,0.19,0.44
Player-0444,1530,EVEN_STEVEN,OBNOXIOUS,-0.13,false,0.18,0.45,0.33
Player-0445,877,EVEN_STEVEN,GRINDER,0.04,false,0.59,0.46,0.79
Player-0446,1215,EVEN_STEVEN,LOW_STAKES,0.5,false,0.24,0.2,0.4
Player-0447,8331,HIGH_ROLLER,OBNOXIOUS,0.28,false,0.16,0.49,0.26
Player-0448,249,LOW_ROLLER,OBNOXIOUS,-0.09,false,0.23,0.44,0.32
Player-0449,341,LOW_ROLLER,LOW_STAKES,0.47,false,0.24,0.13,0.37
Player-0450,463,EVEN_STEVEN,GRINDER,0.13,false,0.52,0.47,0.79
Player-0451,569,EVEN_STEVEN,GRINDER,-0.01,false,0.51,0.48,0.74
Player-0452,1698,EVEN_STEVEN,GRINDER,-0.07,false,0.52,0.52,0.76
Player-0453,203,LOW_ROLLER,LOW_STAKES,0.11,false,0.28,0.18,0.4
Player-0454,1753,EVEN_STEVEN,OBNOXIOUS,0.14,false,0.16,0.45,0.3
Player-0455,263,LOW_ROLLER,OBNOXIOUS,0.0,false,0.23,0.45,0.3
Player-0456,450,EVEN_STEVEN,GRINDER,0.35,false,0.53,0.46,0.77
Player-0457,458,EVEN_STEVEN,GRINDER,0.14,false,0.58,0.51,0.7
Player-0458,532,EVEN_STEVEN,LOW_STAKES,0.25,false,0.23,0.14,0.39
Player-0459,181,LOW_ROLLER,LOW_STAKES,-0.09,false,0.22,0.16,0.39
Player-0460,477,EVEN_STEVEN,LOW_STAKES,0.18,false,0.28,0.19,0.4
Player-0461,450,EVEN_STEVEN,GRINDER,0.09,false,0.54,0.5,0.75
Player-0462,3041,HIGH_ROLLER,GRINDER,-0.02,false,0.54,0.54,0.79
Player-0463,171,LOW_ROLLER,LOW_STAKES,0.27,false,0.23,0.17,0.4
Player-0464,513,LOW_ROLLER,LOW_STAKES,0.39,false,0.27,0.14,0.38
Player-0465,775,EVEN_STEVEN,GRINDER,-0.15,false,0.5,0.5,0.71
Player-0466,515,EVEN_STEVEN,LOW_STAKES,0.02,false,0.2,0.2,0.42
Player-0467,151,LOW_ROLLER,LOW_STAKES,0.42,false,0.2,0.18,0.37
Player-0468,386,LOW_ROLLER,LOW_STAKES,0.41,false,0.2,0.16,0.43
Player-0469,1176,EVEN_STEVEN,LOW_STAKES,0.14,false,0.27,0.13,0.41
Player-0470,903,EVEN_STEVEN,OBNOXIOUS,-0.18,false,0.19,0.46,0.27
Player-0471,347,LOW_ROLLER,LOW_STAKES,-0.11,false,0.2,0.17,0.44
Player-0472,651,EVEN_STEVEN,GRINDER,0.24,false,0.6,0.5,0.74
Player-0473,563,LOW_ROLLER,LOW_STAKES,0.29,false,0.23,0.12,0.42
Player-0474,506,EVEN_STEVEN,LOW_STAKES,0.36,false,0.24,0.14,0.43
Player-0475,1271,EVEN_STEVEN,GRINDER,0.42,false,0.55,0.54,0.71
Player-0476,365,LOW_ROLLER,LOW_STAKES,0.47,false,0.26,0.14,0.39
Player-0477,3764,HIGH_ROLLER,WHALE,-0.24,false,0.88,0.93,0.49
Player-0478,3634,HIGH_ROLLER,OBNOXIOUS,0.01,false,0.24,0.45,0.34
Player-0479,167,LOW_ROLLER,OBNOXIOUS,0.31,false,0.2,0.49,0.25
Player-0480,3461,HIGH_ROLLER,GRINDER,0.44,false,0.56,0.53,0.74
Player-0481,468,EVEN_STEVEN,GRINDER,0.35,false,0.58,0.46,0.72
Player-0482,710,EVEN_STEVEN,GRINDER,0.28,false,0.52,0.47,0.76
Player-0483,4613,HIGH_ROLLER,WHALE,0.23,false,0.87,0.94,0.53
Player-0484,439,LOW_ROLLER,OBNOXIOUS,0.47,false,0.17,0.47,0.25
Player-0485,511,EVEN_STEVEN,OBNOXIOUS,-0.22,false,0.19,0.43,0.31
Player-0486,18222,HIGH_ROLLER,GRINDER,0.12,false,0.56,0.47,0.71
Player-0487,150,LOW_ROLLER,LOW_STAKES,0.15,false,0.23,0.17,0.38
Player-0488,175,LOW_ROLLER,LOW_STAKES,-0.19,false,0.29,0.14,0.41
Player-0489,753,EVEN_STEVEN,GRINDER,-0.23,false,0.59,0.45,0.76
Player-0490,150,LOW_ROLLER,LOW_STAKES,0.26,false,0.25,0.17,0.42
Player-0491,496,LOW_ROLLER,LOW_STAKES,-0.09,false,0.28,0.12,0.38
Player-0492,786,EVEN_STEVEN,GRINDER,-0.1,false,0.54,0.51,0.78
Player-0493,194,LOW_ROLLER,LOW_STAKES,0.4,false,0.25,0.17,0.41
Player-0494,387,LOW_ROLLER,LOW_STAKES,0.19,false,0.29,0.19,0.42
Player-0495,152,LOW_ROLLER,LOW_STAKES,0.38,false,0.28,0.14,0.37
Player-0496,509,LOW_ROLLER,OBNOXIOUS,0.18,false,0.25,0.44,0.28
Player-0497,164,LOW_ROLLER,LOW_STAKES,0.04,false,0.29,0.17,0.4
Player-0498,3436,HIGH_ROLLER,GRINDER,0.48,false,0.52,0.46,0.72
Player-0499,286,LOW_ROLLER,OBNOXIOUS,0.03,false,0.17,0.41,0.32
Player-0500,867,EVEN_STEVEN,GRINDER,0.14,false,0.53,0.54,0.76
